author,cdate,rating,title
jays****,20.09.01,1,테넷
sara****,20.09.01,10,테넷
anas****,20.09.01,2,여교사
ehft****,20.09.01,10,반도
scsz****,20.09.01,9,인정사정 볼 것 없다
cont****,20.09.01,8,다만 악에서 구하소서
tang****,20.09.01,10,내부고발자
kjkj****,20.09.01,2,테넷
allk****,20.09.01,10,테넷
kkw3****,20.09.01,2,강철비2: 정상회담
