기준년월,국가코드,수출입구분코드,순위,국가명,수출입구분명,당월수출입중량(KG),당월수출입미화금액(1$),당해누계수출입중량(KG),당해누계수출입미화금액(1$),데이터기준일자
201805,IQ,E,72,이라크,수출,0,0,25614,152252,2018-06-30
201805,ZZ,E,73,기타국,수출,0,0,125000,149665,2018-06-30
201805,SR,E,74,수리남,수출,0,0,129149,147647,2018-06-30
201805,KI,E,75,키리바티,수출,375000,44407,1050159,147037,2018-06-30
201805,MZ,E,76,모잠비크,수출,0,0,120632,135721,2018-06-30
201805,EE,E,77,에스토니아,수출,0,0,4887,108418,2018-06-30
201805,LA,E,78,라오스,수출,6295,31494,16612,104235,2018-06-30
201805,FJ,E,79,피지,수출,0,0,98502,103780,2018-06-30
201805,FM,E,80,마이크로네시아,수출,110004,22020,530227,103222,2018-06-30
201805,OM,E,81,오만,수출,0,0,30089,93341,2018-06-30
201805,MU,E,82,모리셔스,수출,0,0,77881,88405,2018-06-30
201805,BN,E,83,부루나이,수출,1391,16000,6016,85210,2018-06-30
201805,GW,E,84,기네비소,수출,0,0,76000,66475,2018-06-30
201805,AR,E,85,아르헨티나,수출,0,0,2419,57476,2018-06-30
201805,PY,E,86,파라과이,수출,10660,47246,11023,51183,2018-06-30
201805,PE,E,87,페루,수출,592,16057,3191,47147,2018-06-30
201805,DK,E,88,덴마아크,수출,2169,29677,2585,44093,2018-06-30
201805,GT,E,89,과테말라,수출,0,0,1415,36438,2018-06-30
201805,SB,E,90,솔로몬군도,수출,17000,6087,67330,36334,2018-06-30
201805,BO,E,91,볼리비아,수출,0,0,7095,35350,2018-06-30
201805,CO,E,92,콜롬비아,수출,0,0,1293,34705,2018-06-30
201805,PA,E,93,파나마,수출,1857,8276,31887,31699,2018-06-30
201805,UZ,E,94,우즈베크,수출,313,9745,681,19838,2018-06-30
201805,PF,E,95,프랑스령 폴리네시아,수출,0,0,16282,18806,2018-06-30
201805,BD,E,96,방글라데시,수출,1180,13105,2213,17424,2018-06-30
201805,PW,E,97,팔라우,수출,65,3064,10149,15239,2018-06-30
201805,BZ,E,98,벨리제,수출,3010,3702,10514,12932,2018-06-30
201805,MA,E,99,모로코,수출,0,0,2399,10661,2018-06-30
201805,LB,E,100,레바논,수출,0,0,255,10643,2018-06-30
201805,NI,E,101,니카라과,수출,238,4770,343,8524,2018-06-30
201805,LR,E,102,라이베리아,수출,0,0,30000,7500,2018-06-30
201805,BH,E,103,바레인,수출,836,5511,1620,7370,2018-06-30
201805,KG,E,104,키르기스,수출,0,0,882,7064,2018-06-30
201805,DO,E,105,도미니카공화국,수출,88,835,543,4295,2018-06-30
201805,SD,E,106,수단,수출,0,0,200,3004,2018-06-30
201805,HU,E,107,헝가리,수출,0,0,80,2937,2018-06-30
201805,MK,E,107,마케도니아,수출,0,0,74,2937,2018-06-30
201805,FI,E,109,핀란드,수출,0,0,163,2803,2018-06-30
201805,RE,E,110,리유니온/코모도제도,수출,0,0,80,2630,2018-06-30
201805,MH,E,111,마샬군도,수출,20,98,132,2088,2018-06-30
201805,DZ,E,112,알제리,수출,0,0,159,2060,2018-06-30
201805,GE,E,113,그루지야,수출,78,121,115,1625,2018-06-30
201805,BG,E,114,불가리아,수출,0,0,251,1615,2018-06-30
201805,PK,E,115,파키스탄,수출,470,1486,470,1486,2018-06-30
201805,SK,E,116,슬로바키아,수출,0,0,318,984,2018-06-30
201805,NP,E,117,네팔,수출,0,0,42,820,2018-06-30
201805,UG,E,118,우간다,수출,0,0,25,465,2018-06-30
201805,TL,E,119,동티모르,수출,0,0,20,375,2018-06-30
201805,HN,E,120,온두라스,수출,0,0,19,128,2018-06-30
201805,PG,E,121,파퓨아뉴기니,수출,10,20,10,28,2018-06-30
201805,CU,E,122,쿠바,수출,0,0,6,15,2018-06-30
